time(s)	rudder(deg)	yaw_rate_deg_s
12.15	-0.057	-2.556
12.2	-0.025	-2.638
12.25	0.006	-2.696
12.3	0.001	-2.91
12.35	0.022	-2.884
12.4	-0.008	-3.042
12.45	0.068	-3.205
12.5	-0.047	-3.319
12.55	-0.091	-3.433
12.6	-0.096	-3.366
12.65	0.065	-3.389
12.7	0.021	-3.244
12.75	-0.05	-3.327
12.8	0.017	-3.493
12.85	-0.016	-3.454
12.9	-0.066	-3.386
12.95	-0.062	-3.485
13	0.004	-3.289
13.05	0.009	-3.289
13.1	-0.023	-3.253
13.15	-0.034	-3.094
13.2	-0.081	-3.168
13.25	0.05	-3.112
13.3	0.015	-2.987
13.35	-0.001	-2.873
13.4	0.006	-2.839
13.45	0.013	-2.598
13.5	0.034	-2.785
13.55	-0.019	-2.533
13.6	-0.072	-2.418
13.65	0.052	-2.137
13.7	-0.042	-2.249
13.75	-0.032	-2.173
13.8	0.045	-2.134
13.85	0.068	-2.05
13.9	-0.056	-2.317
13.95	0.076	-2.07
14	0.025	-2.028
14.05	-0.013	-1.963
14.1	-0.011	-1.945
14.15	-0.008	-1.889
14.2	-0.046	-2.052
14.25	-0.014	-2.137
14.3	-0.058	-1.982
14.35	-0.011	-1.809
14.4	-0.029	-2.039
14.45	0.049	-2.011
14.5	-0.057	-2.095
14.55	0.01	-2.204
14.6	0.035	-2.329
14.65	0.027	-2.345
14.7	0.044	-2.272
14.75	0.031	-2.272
14.8	-0.042	-2.427
14.85	-0.009	-2.478
14.9	-0.023	-2.464
14.95	0.014	-2.519
15	0.013	-2.764
